
time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,
9.258630,-0.0936,1.0304,-0.0377,0.0353,-0.6996,-0.0055,18.3311,-42.3260,-14.3662,
9.270267,-0.0936,1.0304,-0.0377,-0.0092,-0.6990,0.0107,18.3311,-42.3260,-14.3662,
9.279640,-0.0936,1.0304,-0.0377,-0.0092,-0.6990,0.0107,18.5120,-43.1651,-15.8297,
9.296628,-0.0936,1.0304,-0.0377,-0.0092,-0.6990,0.0107,18.5120,-43.1651,-15.8297,
9.300881,-0.0936,1.0304,-0.0377,-0.0092,-0.6990,0.0107,19.2761,-42.7709,-16.2675,
9.312616,-0.0999,1.0275,-0.0367,-0.0092,-0.6990,0.0107,19.2761,-42.7709,-16.2675,
9.318656,-0.0999,1.0275,-0.0367,-0.0092,-0.6990,0.0107,17.5265,-42.5489,-15.7074,
9.329048,-0.0999,1.0275,-0.0367,-0.0233,-0.6905,0.0262,17.5265,-42.5489,-15.7074,
9.344195,-0.0999,1.0275,-0.0367,-0.0233,-0.6905,0.0262,17.0540,-42.6647,-15.8611,
9.349591,-0.0999,1.0275,-0.0367,-0.0233,-0.6905,0.0262,17.0540,-42.6647,-15.8611,
9.358264,-0.0999,1.0275,-0.0367,-0.0233,-0.6905,0.0262,18.4148,-44.2946,-15.9612,
9.370588,-0.0861,1.0266,0.0029,-0.0233,-0.6905,0.0262,18.4148,-44.2946,-15.9612,
9.382513,-0.0861,1.0266,0.0029,-0.0233,-0.6905,0.0262,18.8225,-43.1741,-16.2684,
9.394369,-0.0861,1.0266,0.0029,-0.0460,-0.7095,0.0284,18.8225,-43.1741,-16.2684,
9.401205,-0.0861,1.0266,0.0029,-0.0460,-0.7095,0.0284,17.4887,-42.5153,-17.7801,
9.409375,-0.0861,1.0266,0.0029,-0.0460,-0.7095,0.0284,17.4887,-42.5153,-17.7801,
9.420602,-0.0861,1.0266,0.0029,-0.0460,-0.7095,0.0284,17.5616,-43.2566,-15.9915,
9.442137,-0.0861,1.0266,0.0029,-0.0460,-0.7095,0.0284,18.6443,-43.2845,-17.7492,
9.451326,-0.0802,1.0260,-0.0244,-0.0460,-0.7095,0.0284,18.6443,-43.2845,-17.7492,
9.459525,-0.0802,1.0260,-0.0244,-0.0460,-0.7095,0.0284,16.8758,-42.5045,-16.4585,
9.467408,-0.0802,1.0260,-0.0244,-0.0460,-0.7095,0.0284,16.8758,-42.5045,-16.4585,
9.469588,-0.0802,1.0260,-0.0244,0.0241,-0.7059,0.0114,16.8758,-42.5045,-16.4585,
9.480981,-0.0802,1.0260,-0.0244,0.0241,-0.7059,0.0114,15.3314,-43.6844,-17.7963,
9.498727,-0.0802,1.0260,-0.0244,0.0241,-0.7059,0.0114,16.0928,-43.4231,-18.8239,
9.509658,-0.0931,1.0234,-0.0417,0.0241,-0.7059,0.0114,16.0928,-43.4231,-18.8239,
9.518902,-0.0931,1.0234,-0.0417,0.0241,-0.7059,0.0114,16.2602,-43.3031,-17.9354,
9.526505,-0.0931,1.0234,-0.0417,-0.0372,-0.6900,0.0277,16.2602,-43.3031,-17.9354,
9.530317,-0.0931,1.0234,-0.0417,-0.0372,-0.6900,0.0277,16.2602,-43.3031,-17.9354,
9.541532,-0.0931,1.0234,-0.0417,-0.0372,-0.6900,0.0277,17.6885,-43.3712,-18.2072,
9.558809,-0.0931,1.0234,-0.0417,-0.0372,-0.6900,0.0277,14.7968,-42.5273,-17.3795,
9.565879,-0.0690,1.0221,-0.0050,-0.0372,-0.6900,0.0277,14.7968,-42.5273,-17.3795,
9.579914,-0.0690,1.0221,-0.0050,-0.0372,-0.6900,0.0277,14.9615,-43.0814,-18.8477,
9.587117,-0.0690,1.0221,-0.0050,-0.0431,-0.6936,0.0117,14.9615,-43.0814,-18.8477,
9.591678,-0.0690,1.0221,-0.0050,-0.0431,-0.6936,0.0117,14.9615,-43.0814,-18.8477,
9.599008,-0.0690,1.0221,-0.0050,-0.0431,-0.6936,0.0117,15.7364,-42.4262,-17.8098,
9.618894,-0.0690,1.0221,-0.0050,-0.0431,-0.6936,0.0117,15.8687,-42.5456,-19.7293,
9.639608,-0.0690,1.0221,-0.0050,-0.0431,-0.6936,0.0117,17.6426,-43.3304,-20.7240,
9.649673,-0.0804,1.0245,-0.0007,-0.0431,-0.6936,0.0117,17.6426,-43.3304,-20.7240,
9.652955,-0.0804,1.0245,-0.0007,-0.0431,-0.6936,0.0117,17.6426,-43.3304,-20.7240,
9.660741,-0.0804,1.0245,-0.0007,-0.0431,-0.6936,0.0117,15.7607,-43.3949,-19.5696,
9.666244,-0.0804,1.0245,-0.0007,-0.0344,-0.7088,-0.0062,15.7607,-43.3949,-19.5696,
9.679449,-0.0804,1.0245,-0.0007,-0.0344,-0.7088,-0.0062,14.5943,-42.6161,-20.1927,
9.698140,-0.0804,1.0245,-0.0007,-0.0344,-0.7088,-0.0062,14.7239,-42.4625,-21.3768,
9.709327,-0.0804,1.0245,-0.0007,-0.0344,-0.7088,-0.0062,14.7239,-42.4625,-21.3768,
9.713612,-0.0877,1.0235,-0.0166,-0.0344,-0.7088,-0.0062,14.7239,-42.4625,-21.3768,
9.720872,-0.0877,1.0235,-0.0166,-0.0344,-0.7088,-0.0062,14.6753,-44.0411,-20.1687,
9.727141,-0.0877,1.0235,-0.0166,0.0173,-0.6976,-0.0101,14.6753,-44.0411,-20.1687,
9.739543,-0.0877,1.0235,-0.0166,0.0173,-0.6976,-0.0101,15.9254,-43.5431,-19.7126,
9.762483,-0.0877,1.0235,-0.0166,0.0173,-0.6976,-0.0101,15.1910,-44.7755,-20.2967,
9.771527,-0.0623,1.0273,-0.0156,0.0173,-0.6976,-0.0101,15.1910,-44.7755,-20.2967,
9.776253,-0.0623,1.0273,-0.0156,0.0173,-0.6976,-0.0101,15.1910,-44.7755,-20.2967,
9.780658,-0.0623,1.0273,-0.0156,0.0173,-0.6976,-0.0101,12.4694,-44.4905,-20.6411,
9.800403,-0.0623,1.0273,-0.0156,0.0173,-0.6976,-0.0101,14.1002,-42.3068,-20.2056,
9.808310,-0.0623,1.0273,-0.0156,-0.0504,-0.7101,-0.0400,14.1002,-42.3068,-20.2056,
9.821935,-0.0623,1.0273,-0.0156,-0.0504,-0.7101,-0.0400,14.1488,-43.2971,-20.6329,
9.827455,-0.0623,1.0273,-0.0156,-0.0504,-0.7101,-0.0400,14.1488,-43.2971,-20.6329,
9.844012,-0.0623,1.0273,-0.0156,-0.0504,-0.7101,-0.0400,13.2551,-42.0878,-22.4423,
9.849002,-0.1204,1.0327,0.0163,-0.0504,-0.7101,-0.0400,13.2551,-42.0878,-22.4423,
9.860039,-0.1204,1.0327,0.0163,-0.0504,-0.7101,-0.0400,13.3523,-43.3919,-21.0882,
9.867524,-0.1204,1.0327,0.0163,0.0405,-0.7079,0.0071,13.3523,-43.3919,-21.0882,
9.879708,-0.1204,1.0327,0.0163,0.0405,-0.7079,0.0071,13.5467,-43.5665,-19.6026,
9.884045,-0.1204,1.0327,0.0163,0.0405,-0.7079,0.0071,13.5467,-43.5665,-19.6026,
9.900871,-0.1204,1.0327,0.0163,0.0405,-0.7079,0.0071,11.2355,-42.8399,-22.3149,
9.906742,-0.0891,1.0318,-0.0122,0.0405,-0.7079,0.0071,11.2355,-42.8399,-22.3149,
9.922983,-0.0891,1.0318,-0.0122,0.0405,-0.7079,0.0071,11.7863,-44.0114,-21.8434,
9.927487,-0.0891,1.0318,-0.0122,-0.0146,-0.7180,-0.0140,11.7863,-44.0114,-21.8434,
9.944998,-0.0891,1.0318,-0.0122,-0.0146,-0.7180,-0.0140,12.7232,-43.2314,-20.2131,
9.949793,-0.0891,1.0318,-0.0122,-0.0146,-0.7180,-0.0140,12.7232,-43.2314,-20.2131,
9.964033,-0.0891,1.0318,-0.0122,-0.0146,-0.7180,-0.0140,12.2858,-44.5961,-22.4180,
9.985033,-0.0915,1.0276,-0.0134,-0.0146,-0.7180,-0.0140,12.2858,-44.5961,-22.4180,
9.989668,-0.0915,1.0276,-0.0134,-0.0146,-0.7180,-0.0140,12.4181,-44.1743,-22.5705,
10.003508,-0.0915,1.0276,-0.0134,0.0158,-0.7193,0.0158,12.4181,-44.1743,-22.5705,
10.007812,-0.0915,1.0276,-0.0134,0.0158,-0.7193,0.0158,11.5757,-43.1459,-22.0086,
10.010277,-0.0915,1.0276,-0.0134,0.0158,-0.7193,0.0158,11.5757,-43.1459,-22.0086,
10.019708,-0.0915,1.0276,-0.0134,0.0158,-0.7193,0.0158,11.1491,-43.9790,-21.8542,
10.042168,-0.0915,1.0276,-0.0134,0.0158,-0.7193,0.0158,11.1248,-43.5515,-21.8615,
10.048046,-0.1130,1.0283,-0.0034,0.0158,-0.7193,0.0158,11.1248,-43.5515,-21.8615,
10.062229,-0.1130,1.0283,-0.0034,0.0158,-0.7193,0.0158,10.7522,-45.2444,-21.3966,
10.069259,-0.1130,1.0283,-0.0034,0.0425,-0.7094,0.0176,10.7522,-45.2444,-21.3966,
10.076675,-0.1130,1.0283,-0.0034,0.0425,-0.7094,0.0176,10.7522,-45.2444,-21.3966,
